iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.990687370300293,-549.3255070169251,5.159902374747418,-538.5588425457919,-566.3078485752735,0.0,0.4320785686213122,0.1,0.0596318244934082,0.3400144577026367,0.053947087,0.22385576,-549.3255070169251,-0.158136437769675,-2.5377904989326296,0.0,1696,0.15739059448242188,1.0002719627980121,0.9837353181762003,-607.765591161101,0.0
1,1.6615824699401855,-548.1858518478783,4.061995549252285,-539.3042735030425,-559.6244463824062,0.0,0.5111683904935328,0.1,0.00506281852722168,0.2375643253326416,0.054478686,0.1917818,-549.2115415000205,-0.15688774580514486,-2.5320835649902516,0.0,1681,0.181427001953125,0.9836724658401212,0.8181515191527531,-606.3355127097848,0.0
2,1.9244675636291504,-548.9757478760226,5.486579350965568,-538.830721757025,-573.0593917395327,0.0,0.5140750266383222,0.1,0.012531757354736328,1.103029727935791,0.053409915,0.18583919,-549.1879621376207,-0.16009087162072222,-2.5359552748767165,0.0,1697,0.2857351303100586,0.8176641454258076,0.34844278088889263,-610.8787853783525,0.0
3,1.6801488399505615,-548.4501611047032,4.321567931406877,-540.4777571553279,-558.8731639155528,0.0,0.5350025137989445,0.1,0.22228360176086426,0.8249547481536865,0.04888482,0.1748857,-549.114182034329,-0.15530332329128926,-2.533433510901063,0.0,1684,0.20536017417907715,0.3514872927497262,0.03287041430439084,-616.1324080605646,0.0
4,1.6846940517425537,-548.170333520745,5.0170323311397675,-538.8926400801237,-560.7560194173138,0.0,0.5967977876599221,0.1,0.02728581428527832,0.2595648765563965,0.049050603,0.14863159,-549.0197971829706,-0.15568562517163054,-2.5321567911364595,0.0,1700,0.11488747596740723,0.03261063348307437,0.02066200747537452,-656.1330343164052,0.0
5,1.6957347393035889,-547.4993509403272,4.460068183088849,-539.7691286672299,-562.454754013361,0.0,0.5290602453287584,0.1,0.0929255485534668,0.15030622482299805,0.052876413,0.14951971,-548.8677525587062,-0.15385613834637246,-2.528599812732875,0.0,1683,0.1190636157989502,0.02050121324590855,0.018320736044710507,-612.7027121524806,0.0
6,1.831083059310913,-547.9852395029291,4.185770593704113,-540.2659779068413,-562.1569783863685,0.0,0.5743251445337902,0.1,0.18244528770446777,1.2128329277038574,0.053115614,0.14948973,-548.7795012531285,-0.1593900477152191,-2.5311426761419833,0.0,1665,0.19073867797851562,0.018827174507172986,0.01610384825085212,-633.5193751530016,0.0
7,1.821202039718628,-549.7236158718109,5.083697988046243,-540.5978849412704,-565.4608657816792,0.0,0.5785735506405261,0.1,0.19352293014526367,1.5039315223693848,0.052696727,0.14600942,-548.8739127149968,-0.1595060466562224,-2.539858944254218,0.0,1725,0.29730677604675293,0.016535745500772865,0.013363898739760731,-621.2661816066947,0.0
8,1.812708854675293,-549.5235112476483,4.980561911659157,-540.7575909055342,-563.738405004946,0.0,0.6310528219098718,0.1,0.18503952026367188,1.4443151950836182,0.05105533,0.15351002,-548.9388725682619,-0.16205445952031428,-2.5388890732851777,0.0,1693,0.2931818962097168,0.013677365894954201,0.010248861077011107,-603.0678732789843,0.0
9,1.8501980304718018,-547.8095470436386,4.467244960915018,-537.3800168922008,-567.4319857599022,0.0,0.5574283427169997,0.1,0.10113525390625,0.9320130348205566,0.04760642,0.13466854,-548.8259400157996,-0.1554762896195032,-2.530345200261454,0.0,1693,0.17045044898986816,0.009888277503331327,0.006830490064616446,-579.7142907460828,0.0
